,PRODUCTCODE,SKUName,GSV/LTR
316,70003751,GOKKUSAGI-30X70 ML.,2.7142857142857144
317,70004787,MAX.YAZBUZ-54X34 ML.,5.590975968612065
313,70001028,MAX.BUZPARMAK.LIMON-30X65 ML.,5.83277870216306
48,21103826,MAX.BUZPARMAK.LIMON-30X63 ML.,6.189953566905866
131,67228036,MAX CALIPPO KIDS PORTAKAL 30X70ML,6.345238095238096
30,21034392,MAX.DUO.MUZ-30X60 ML.,6.5
29,21034391,MAX.DUO.VANILYA.ANTEPFISTIGI-30X60 ML.,6.5
21,20271291,MAX.DUO.KAKAO.30X60 ML.,6.500000000000001
28,21034390,MAX.DUO.CILEK-30X60 ML.,6.500000000000001
22,20271294,MAX.DUO.ANTEP.30X60 ML.,6.500000000000001
44,21101925,MAX.DUO.VANILYA.ANTEPFISTIGI-30X58 ML.,6.724137931034483
133,67250507,MAX DUO CILEK&VANILYA 36X55ML,7.075949367088608
150,67444936,MAX DUO VANILYA LIMON 36X54ML,7.090909090909091
159,67459235,MAX DUO KAKAO PROMO 36X54ML,7.208530805687205
149,67411186,MAX DUO CILEK 36X54ML,7.222222222222221
148,67411184,MAX DUO CHOCOLATE 36X54ML,7.2395209580838324
323,70007532,MAX.ANTEP.FISTIK-30X70 ML.,7.93162393162393
324,70007533,MAX.KAKAO-30X70 ML.,7.934252386002121
325,70007534,MAX.VANILYA-30X70 ML.,7.940106951871657
238,68132639,MAX CALIPPO STICK 30X60ML,7.964285714285713
254,68172211,MAX CALIPPO STICK PRM 30X60ML,8.125
185,67711013,MAX 4KOSE CILEK 36X48ML,8.125
51,21110588,ALGIDA CLASSICS KAKAO PROMO 30X70 ML,8.285714285714283
52,21110632,ALGIDA CLASSICS ANTEP PROMO 30X70 ML,8.285714285714285
274,68275768,MAX CALIPPO LIMON PORTAKAL 30X55ML,8.794990803083111
319,70004823,CORNETTO CILEK-KAYMAK-24x125 ML.,8.846153846153847
145,67364266,ALGIDA MAX MINIONS 20X90ML,9.02176187486922
272,68268896,MAX CALIPPO STICK K.DUT CLEK PRM 30X55ML,9.058823529411764
4,20049423,CORNETTO.CIKOLATA-24X125 ML.,9.184311496376298
318,70004822,CORNETTO.KAYMAK-24X125 ML.,9.191320893690156
273,68275766,MAX CALIPPO LIMON PORTAKAL PRM 30X55ML,9.26056338028169
5,20049425,TWISTER.ANANAS-20X80 ML.,9.625
327,70009779,MAX.FRIGOLA.FINDIK-30X75 ML.,9.625
19,20211230,TWISTER.ORMAN MEYVELİ-20X80 ML.,9.625
184,67710253,ALGIDA RINGO 24X80ML,9.75
31,21034393,MAX.DUO.KAKAO-30X60 ML.,9.833333333333332
58,21160484,MAX DUO MUZ (30X55 ML),9.833333333333334
64,21160881,MAX CAPTAIN COOKIE (24X58ML),10.0
271,68268894,MAX CALIPPO STICK K.DUT CILEK 30X55ML,10.173694263092097
191,67716581,ALGIDA RINGO 24X76ML,10.27027076843677
260,68179476,ALGIDA MARAS CL STICK 30X70ML,10.46640710791654
56,21160477,MAX DUO CİLEK (30X55 ML),10.691275167785236
60,21160489,MAX DUO KAKAO (30X55 ML),10.695906432748538
132,67250505,MAX DUO KARAMEL&VAN 36X55ML,10.727272727272727
163,67505779,MAX KIDS CALIPPO LIMONATA 30X70ML,11.142857142857142
188,67713967,MAX BUZPARMAK 30X70ML,11.580215917650014
0,20024394,CORNETTO.DISC.VANILYA.KARAMEL-24X160 ML.,11.999999999999998
6,20056113,SCORN DISC ANTEP CIKOLATA-24LU.,11.999999999999998
7,20056159,SCORN DISC VANILYA KARAMEL 24LU.,11.999999999999998
17,20085464,SCORN.DISC.ANTEP.PRO-24X160.,12.0
25,20292642,CORNETTO.DISC.ANTEP.CIK.PROMO-24X160 ML.,12.0
33,21041465,CORNETTO DISC AEX VAN-CAR  (24X160ML),12.000000000000002
3,20049422,CORNETTO.DISC.AFISTIGI.CIK-24X160 ML.,12.000000000000002
24,20292641,CORNETTO.DISC.CIKOLATA.PROMO-24X160 ML.,12.000000000000002
192,67717322,MAX YAZBUZ 60X32ML,12.071723440703193
295,68548120,MAX CL BUZPARMAK 30X65ML,12.355811262050155
244,68144313,ALGIDA TRIO 30X62ML,12.577014283350795
66,21161742,MAX ROCKS (24x 90ML),12.777777777777777
20,20269244,ALGIDA.KULAH.MARAS.24X150 ML.,12.799999999999997
18,20085746,SCORN CIK-KAYMAK LID P. 24X150ML.,12.799999999999999
167,67513668,ALGIDA ATOMIX 30X60ML,12.833333333333334
218,67864953,MAX GOKKUSAGI 32X59 ML,12.956402288356351
279,68347473,ALGIDA DOVME STICK 30X57ML,13.670818505338078
248,68153720,ALGIDA COMBO KAKAO-VAN 30X57ML,13.836622207758369
161,67497898,MAX GOKKUSAGI CATAPAT PROMO 30X62ML,13.838983050847455
34,21046363,MAX.YAZBUZ.PORTAKAL.LİMON-54X28 ML,13.989130434782608
249,68153733,ALGIDA COMBO CILEK-VAN 30X57ML,14.020320405974894
252,68172205,ALGIDA COMBO KAK VAN PRM 30X57ML,14.217431404196448
261,68179478,MAX CL YAZBUZ 60X32ML,14.396518248937795
109,67121918,ALGIDA BUZZY MANGO 30X75ML,14.624999999999998
36,21085621,GOKKUSAGI.CATAPAT-30X65 ML.,15.565049614112457
181,67710227,MAX GOKKUSAGI 30X59ML,15.824174174174173
256,68172215,MAX TWISTER OCEAN PRM 30X70ML,15.879419261886293
243,68144310,MAX TWISTER ISLAND 30X70ML,16.336940031487046
23,20275397,MAGNUM.MP.INF.CHOCO.25X55ML,16.363636363636363
253,68172207,MAX TWISTER ISLAND PRM 30X70ML,16.424790926795733
242,68144308,MAX TWISTER FOREST 30X70ML,16.42585886876853
202,67753376,MAX GOKKUSAGI PROMO 30X59ML,16.489278752436647
172,67643123,MAX MINIMILK 54X35 ML,16.49722222222222
210,67830647,ALGIDA MARAS STICK KODLU PRM 30X70ML,16.714285714285715
241,68144305,MAX TWISTER OCEAN 30X70ML,16.851254564036708
40,21101349,CLASSICS.WHITE-30X68 ML.,17.08928571428571
265,68188082,CORNETTO KEYIF CL CILEK-VAN 24X110ML,17.727272727272727
168,67528356,CORNETTO BLACK LAVENDER 24X125ML,17.76923076923077
146,67397284,ALGIDA MARAS STICK 30X70ML,18.048019207683073
216,67864120,ALGIDA MARAS STICK SADE TEKLI 30X60ML,18.195501615954914
72,21166848,MAX TWISTER ISLAND PROMO (25X74 ML),18.28312473025464
208,67753747,ALGIDA KEYIF CLK-VAN PRM 24X110ML,18.966507177033495
207,67753745,ALGIDA KEYIF CIKO-VAN PRM 24X110ML,19.00651465798046
80,67014224,NOGGER KARAMEL- WAFFLE (21X120 ML),19.333333333333332
50,21109093,ALGIDA KULAH KEYIF (24X105ML),19.473211952260655
16,20085168,MAGNUM GOLD 100 ML PROMO.,19.687022900763356
215,67852641,ALGIDA BOOM BOOM KARAMEL 24X90ML,20.05432098765432
171,67632219,ALGIDA KEYIF KLAH KAKAO PRM 24X105ML,20.166144200626956
282,68371254,MAX TRT MINIMILK VANILYA 54X35ML,20.512102935442716
177,67695763,ALGIDA KEYIF CHOC-VAN 24X110ML,20.691072877410353
204,67753380,ALGIDA CONBOO CILEK VAN PRM 30X60ML,20.74554837397291
284,68519841,MAX SLIME APPLE 30X55ML,20.756669859684607
205,67753382,ALGIDA CONBOO KAKAO VAN PRM 30X60ML,20.76099068205709
96,67049667,MAX YAZBUZ PORTAKAL LİMON 60X28ML,20.838630806845966
174,67666731,ALGIDA MARAS STICK PRM 30X70ML,20.85714285714286
311,68870862,MAX BUZPRAK LMN PRM 30X60ML,20.860889421574917
13,20084444,MAGNUM.ANTEP.PRO-20L .,20.909090909090907
9,20084412,MAGNUM.CLASSIC.PROMO-20X110 ML.,20.909090909090907
14,20084447,MAGNUM.BADEMLI.PROMO-20X110 ML.,20.909090909090907
326,70008988,MAGNUM.ANTEPFISTIKLI-20X110 ML.,20.909090909090907
320,70007201,MAGNUM.CLASSIC-20X110 ML.,20.90909090909091
321,70007202,MAGNUM BADEMLI-20X110 ML.,20.90909090909091
322,70007207,MAGNUM BEYAZ-20X110 ML.,20.909090909090914
71,21165779,MAX TWISTER FOREST PROMO (25X74 ML),20.91269841269841
61,21160837,MAX TWISTER OCEAN (25X74ML),20.95663265306122
257,68179470,MAX CL GOKKUSAGI 32X59ML,21.07079564679696
164,67505870,ALGIDA CLASSICS FISTIK PRM 30X73ML,21.184032476319345
166,67505878,ALGIDA CLASSICS VANILYA PRM 30X73ML,21.25768757687576
136,67316725,MAX TWISTER OCEAN PROMO 30X72ML,21.468144044321335
93,67045650,ALGIDA CLASSICS VANILYA 30X73ML,21.486157718120808
135,67316723,MAX TWISTER FOREST PROMO 30X72ML,21.538961038961034
111,67142635,MAX GOKKUSAGI CATAPAT 30X62ML,21.752761257434152
281,68367339,MAX TRT MINIMILK KAKAO 54X35ML,21.771018535634465
160,67497704,ALGIDA CLASSICS EXT.BOGURT.30X73ML,22.142857142857142
114,67146086,MAX TWISTER OCEAN 25X72ML,22.180129240710823
221,67866943,CORNETTO DISC TOBLERONE PRM 24X140ML,22.21428571428571
245,68148507,ALGIDA CLASSICS COOKIE CUP 18X105ML,22.309360665487993
197,67719639,CORNETTO ROMANTIK 24X130ML,22.31146767343086
165,67505872,ALGIDA CLASSICS KAKAO PRM 30X73ML,22.394736842105267
2,20034199,MAGNUM DOUBLE KARAMEL-20LI.,22.727272727272727
12,20084417,MAGNUM.DBL.KARAMEL.PROMO-20L .,22.727272727272727
97,67049713,ALGIDA CLASSICS FISTIK 30X73ML,22.98745724059293
57,21160479,MAX TWISTER FOREST (25X74 ML),23.13657623947614
189,67714624,CORNETTO CILGIN 24X130ML,23.26417038818276
59,21160486,MAX TWISTER ISLAND (25X74 ML),23.306569343065693
294,68544800,MAX MINIONS MUZ&KRML 20X87ML,23.378540606151486
43,21101352,CLASSICS.VANILYA-30X70 ML.,23.394828129927465
137,67316727,MAX TWISTER ISLAND PROMO 30X72ML,23.483333333333334
70,21165426,MAX TWISTER OCEAN PROMO (25X74ML),23.498397435897438
209,67804484,ALGIDA CLS EXTRA BOGURT. PRM 30X65ML,23.64406779661017
142,67353112,ALGIDA CLASSICS EXTRA BOGURT.30X65ML,23.678728974644056
255,68172213,MAX TWISTER FOREST PRM 30X70ML,23.72119815668203
276,68305569,ALGIDA CLS BERRY PRM 30X65ML,23.845002899271048
193,67717823,ALGIDA KEYIF KORNET CILEK 24X110ML,23.911025145067704
251,68172203,ALGIDA COMBO CILEK-VAN PRM 30X57ML,23.969743589743587
42,21101351,CLASSICS.ANTEPFISTIK-30X70 ML.,24.122294372294373
53,21110852,ALGIDA CLASSICS VANILYA PROMO 30X70 ML,24.28571428571428
41,21101350,CLASSICS.KAKAO-30X70 ML.,24.449735449735446
62,21160842,CLASSICS EX.ORMAN MEYVELI 30X70ML,24.44973544973545
223,67867059,CORNETTO CLS CIKO PRM 24X125ML,24.473418539884623
63,21160862,ALGIDA CLASSICS ANTEP FISTIGI 30X65ML,24.475646123260436
1,20034198,MAGNUM.DOUBLE.CIKOLATA-20X110 ML.,24.545454545454536
10,20084415,MAGNUM.DOUBLE.CIKOLATA.PROMO-20X110 ML.,24.545454545454543
11,20084416,MAGNUM.DOUBLE.KARADUT.BN.PROMO-20X110 ML,24.545454545454547
39,21100829,CORNETTO.IL.TOFFEE-24X125 ML.,24.56
190,67714628,CORNETTO GOZU KARA 24X130ML,25.079772079772074
128,67180115,MAX TWISTER FOREST 30X72ML,25.53532182103611
140,67353108,ALGIDA CLASSICS VANILYA 30X65ML,25.56220240970507
291,68536996,MAX DUO KAK VAN NC KNTN 30X55ML,25.570754716981124
105,67095001,ALGIDA NOGGER TARCHY 20X145ML,25.733333333333334
183,67710235,MAX MINIMILK KAKAO 54X35ML,25.765410985769652
175,67690827,ALGIDA FROOTIE 30X90ML,25.999999999999996
179,67709687,ALGIDA CLASSICS KAKAO PRM 30X65ML,26.063380281690137
94,67045652,ALGIDA CLASSICS KAKAO 30X73ML,26.14934259488961
116,67146092,MAX TWISTER FOREST 25X72ML,26.352715654952082
247,68150606,MAX MINIONS CUP 18X105ML,26.36063741999676
141,67353110,ALGIDA CLASSICS ANTEPFISTIK 30X65ML,26.53325908887478
180,67709689,ALGIDA CLASSICS VAN PRM 30X65ML,26.78363228699551
237,68127768,ALGIDA MARAS CUP MONOCUP 24X105ML,26.937925579365537
182,67710233,MAX MINIMILK VANILYA54X35ML,27.206478933341046
267,68188086,CORNETTO KEYIF CL CHOC-VAN 24X110ML,27.276557198813848
55,21160474,MAX BUZ PARMAK LIMON (30X60 ML),27.299315427317328
130,67192401,ALGIDA BUZZY CILEK&VAN.YENI 30X75ML,27.329317269076302
178,67709682,ALGIDA CLASSICS FISTIK PRM 30X65ML,27.38469769930444
287,68526822,MAX TWISTER POPSTER 30X58ML,27.472051569690176
296,68566884,MAX TWISTER KNTN KAK&MUZ 30X65ML,27.48596758102562
69,21164163,CLASSICS VANILYA 30X65ML,27.7573354480571
214,67845521,MAX GOKKUSAGI PRM 32X59ML,27.867808582254035
224,67867061,CORNETTO CLS DBL CRM PRM 24X125ML,27.980364656381486
270,68201437,CORNETTO UNICORNETTO PRM 24X135ML,28.207657056255176
125,67164466,ALGIDA MARAS CUP DOGU BOLG. 24X95ML,28.31343283582089
78,32007633,ALGIDA MARAS CUP 24X110 ML,28.547260686333534
143,67353114,ALGIDA CLASSICS KAKAO 30X65ML,28.70078471511429
